SpineBase							SpineMid							Neck							Head							ShoulderLeft							ElbowLeft							WristLeft							HandLeft							ShoulderRight							ElbowRight							WristRight							HandRight							HipLeft							KneeLeft							AnkleLeft							FootLeft							HipRight							KneeRight							AnkleRight							FootRight							SpineShoulder							HandTipLeft							ThumbLeft							HandTipRight							ThumbRight							
Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;
0.03186378;-0.4623857;1.165468;0.03278787;0.9813795;-0.1822501;-0.05103055;0.04512947;-0.1923346;1.060784;0.03762266;0.9796754;-0.1813138;-0.0771093;0.05707603;0.07236648;0.9411787;0.04402276;0.9673897;-0.2265125;-0.1044572;0.05750009;0.1956131;0.8508226;0;0;0;0;-0.114272;-0.001141297;0.9604445;0.7069318;-0.6814801;0.1608032;0.09987421;-0.1248196;-0.2190061;0.8524268;0.8666722;0.08396802;-0.4431951;-0.2130886;-0.06962915;-0.3571026;0.6876112;-0.01120686;-0.4138864;0.900507;-0.1328901;-0.09862353;-0.3764566;0.6674728;0.1906277;-0.3761674;0.8390639;0.3437018;0.2002242;-0.02635778;0.8913665;0.710818;0.6295352;-0.3064225;-0.06729343;0.1923745;-0.2322811;0.8020685;0.931911;-0.07921425;0.2999783;-0.1878299;0.1099681;-0.3917003;0.672964;-0.1541894;-0.2769919;0.9147587;0.2504348;0.1284587;-0.3897919;0.6706873;-0.2185211;-0.1544822;-0.6334804;0.7260071;-0.0475466;-0.4491588;1.143318;-0.6150105;0.760043;-0.2062897;-0.03926169;-0.02620847;-0.8443633;1.204697;-0.6668348;0.0392575;0.7407472;-0.07130214;-0.007456183;-1.223444;1.289221;-0.6272567;0.069513;0.7707123;-0.08786088;-0.02976297;-1.281158;1.180991;0;0;0;0;0.1096411;-0.4504858;1.124813;0.6048652;0.7508596;-0.2587587;-0.05823995;0.1488424;-0.3582991;0.7164959;-0.3909682;0.5595507;-0.4873492;0.5445528;0.1984087;-0.2688261;0.286907;-0.3900035;0.5509237;-0.4965795;0.5457006;0.1636367;-0.273119;0.1511147;0;0;0;0;0.0543294;0.007532319;0.9736462;0.04313903;0.9731705;-0.2005302;-0.1042394;-0.08904266;-0.373001;0.6357915;0;0;0;0;-0.09157228;-0.3945885;0.6888758;0;0;0;0;0.1177936;-0.3899904;0.6641604;0;0;0;0;0.1443086;-0.3760399;0.64175;0;0;0;0;
0.03618141;-0.4593398;1.166221;0.03372011;0.9820751;-0.1772707;-0.0544655;0.04985044;-0.186992;1.063717;0.03846923;0.980258;-0.176301;-0.08082327;0.06199406;0.08006929;0.9463292;0.0443892;0.9681511;-0.2211792;-0.108595;0.06248888;0.2056541;0.8571653;0;0;0;0;-0.1086948;0.003538187;0.9663225;0.7137402;-0.6765805;0.1535182;0.0961549;-0.1204073;-0.2155578;0.8545942;0.8440075;0.0945522;-0.482259;-0.2147967;-0.08175439;-0.3604683;0.6910928;0.05971867;-0.3981119;0.9071943;-0.1222254;-0.09755668;-0.3664129;0.6766658;0.3146122;-0.5513788;0.7313399;0.2492837;0.2043609;-0.02040573;0.893528;0.7129085;0.6260309;-0.3064909;-0.0768762;0.1929656;-0.2263857;0.8045235;0.9244816;-0.09102412;0.3220663;-0.1825422;0.1137428;-0.386616;0.6743486;-0.05168776;-0.3057504;0.9271667;0.2102544;0.129242;-0.3886329;0.6740571;0.0813782;0.05912922;0.7469169;-0.6572644;-0.04360059;-0.446277;1.144643;-0.6176187;0.7593193;-0.2012207;-0.03862169;-0.02476078;-0.8424568;1.203147;-0.6648575;0.03881957;0.7430033;-0.06635941;-0.008240645;-1.222346;1.284957;-0.6241633;0.06892634;0.7738045;-0.08304189;-0.03191425;-1.279126;1.176278;0;0;0;0;0.1141337;-0.4474688;1.124906;0.6058765;0.7500181;-0.2573659;-0.06441525;0.1486949;-0.3560106;0.7164825;-0.3937829;0.5626143;-0.4858462;0.5406974;0.1932735;-0.2672083;0.2859353;-0.3930104;0.5540526;-0.4950321;0.5417673;0.1574476;-0.2703531;0.1500334;0;0;0;0;0.05923366;0.01467112;0.9782129;0.04371349;0.973743;-0.1953948;-0.1083267;-0.1002663;-0.3748682;0.6427316;0;0;0;0;-0.08714984;-0.3846099;0.6948;0;0;0;0;0.1162603;-0.3909421;0.665831;0;0;0;0;0.1333828;-0.371764;0.6422404;0;0;0;0;
0.0379144;-0.4573838;1.167525;0.03417557;0.9814094;-0.1779558;-0.0632411;0.05087996;-0.1855982;1.064662;0.0391073;0.979273;-0.1769374;-0.09048751;0.06240505;0.08067764;0.946662;0.04603005;0.9666296;-0.2221922;-0.1189086;0.06794073;0.2175647;0.8658846;0;0;0;0;-0.1045486;0.007930408;0.9714483;0.7082314;-0.6820044;0.1459168;0.1094836;-0.1150013;-0.2075881;0.8644028;0.8319151;0.0994588;-0.5052729;-0.2066992;-0.08129135;-0.3549142;0.7020422;-0.3587415;-0.4016418;0.8386868;0.0811974;-0.0957214;-0.3680055;0.6698021;-0.2328306;-0.4337343;0.7871168;0.3716337;0.2027858;-0.02085714;0.8937049;0.7139822;0.6222692;-0.3112754;-0.07821812;0.1957399;-0.2276544;0.8066301;0.9250456;-0.08049593;0.323851;-0.1814706;0.1118309;-0.3828852;0.6730682;0.006823082;-0.3286774;0.9223175;0.203113;0.129889;-0.3913459;0.682472;0.811291;0.4236389;-0.1835148;0.358691;-0.0408215;-0.4432014;1.147064;-0.6126037;0.7641793;-0.1970891;-0.04361824;-0.02332718;-0.8409841;1.199959;-0.6592672;0.03510958;0.7486879;-0.06000342;-0.007989853;-1.222233;1.276451;-0.6165311;0.06525683;0.7808577;-0.0767606;-0.03420404;-1.278222;1.167932;0;0;0;0;0.114984;-0.4465022;1.125394;0.6079085;0.7461139;-0.2626273;-0.06919628;0.1486629;-0.355382;0.7171965;-0.3926299;0.5650538;-0.4870949;0.5378611;0.1923457;-0.2668006;0.2861857;-0.3919056;0.5564517;-0.4962319;0.5390043;0.1542825;-0.2699258;0.150685;0;0;0;0;0.05977726;0.01546627;0.9786854;0.04491926;0.9722368;-0.1965432;-0.1187796;-0.08918693;-0.3709219;0.6368942;0;0;0;0;-0.1320006;-0.3933191;0.6933333;0;0;0;0;0.1189859;-0.3929729;0.6748732;0;0;0;0;0.1454251;-0.3776257;0.6524;0;0;0;0;
0.04243122;-0.4523887;1.166484;0.04143096;0.9831615;-0.1625039;-0.07259082;0.05966026;-0.171435;1.069568;0.04592776;0.9807665;-0.1612907;-0.09986552;0.07699828;0.1082086;0.9617333;0.05407195;0.9711995;-0.1931145;-0.1286645;0.07445435;0.2369814;0.8734515;0;0;0;0;-0.1007473;0.0135272;0.9774435;0.7467309;-0.6502194;0.1267515;0.05951336;-0.1080067;-0.1979894;0.8879859;0.7888247;0.1048857;-0.5814059;-0.1694748;-0.08702371;-0.3512632;0.7293305;-0.1282228;-0.392617;0.910714;0.00329099;-0.09337902;-0.3724922;0.691308;-0.05790361;-0.4949956;0.8589747;0.1174272;0.2041181;-0.01723454;0.8953962;0.7557948;0.5617392;-0.3061108;-0.1397118;0.2001597;-0.2280814;0.8208532;0.8975965;-0.07799994;0.4070049;-0.1502779;0.1167688;-0.3706379;0.6728371;0.06186296;-0.3815025;0.9041949;0.181825;0.135038;-0.3936981;0.6916548;0.8741844;0.1920873;-0.2568191;0.3646204;-0.03675833;-0.4382384;1.147503;-0.6171699;0.7641687;-0.1830318;-0.04058267;-0.02267917;-0.8373322;1.196175;-0.6528277;0.03437753;0.7548739;-0.05291089;-0.01042736;-1.219639;1.268677;-0.6122038;0.06403779;0.7849888;-0.06998741;-0.03873285;-1.273027;1.15858;0;0;0;0;0.1197885;-0.4416742;1.122498;0.6116538;0.7428796;-0.2571175;-0.08888206;0.1494726;-0.3559269;0.7213831;-0.392944;0.5695499;-0.4912669;0.5290225;0.1904127;-0.2700386;0.2808273;-0.3924766;0.5605704;-0.5006812;0.5301333;0.1507259;-0.2687334;0.1452226;0;0;0;0;0.07286169;0.03946664;0.9908144;0.05268012;0.9752468;-0.1721039;-0.1284473;-0.09106316;-0.3893429;0.6636689;0;0;0;0;-0.1010652;-0.3977283;0.7194445;0;0;0;0;0.1218966;-0.3966763;0.6761208;0;0;0;0;0.122853;-0.3799328;0.6624;0;0;0;0;
0.04634795;-0.4477955;1.164773;0.04462238;0.9836577;-0.1530464;-0.08368567;0.06505984;-0.1621178;1.071904;0.04855198;0.9811741;-0.1518455;-0.1090094;0.08198123;0.1182539;0.9661257;0.05364209;0.9702927;-0.1924079;-0.1365059;0.08103706;0.2555262;0.8836654;0;0;0;0;-0.09776055;0.01950462;0.9841694;0.7560748;-0.6418402;0.1145248;0.05723542;-0.1020029;-0.1933663;0.9175343;0.7551292;0.09014457;-0.6378571;-0.121624;-0.08933969;-0.3549833;0.7670659;0.2031254;-0.3501115;0.9077938;-0.109874;-0.09473455;-0.357855;0.7369192;0.2183107;-0.6682329;0.7064134;-0.08237312;0.2063678;-0.01254843;0.8977684;0.7664065;0.5446789;-0.3054945;-0.1503958;0.205512;-0.2264865;0.8354762;0.8838216;-0.06534212;0.4460045;-0.1251792;0.127489;-0.3691934;0.6847332;-0.2028069;-0.3220153;0.8835343;0.2730247;0.1424913;-0.3939137;0.7010731;0.8472309;0.1085915;-0.39286;0.3406885;-0.03301648;-0.4333679;1.147413;-0.6190776;0.7653007;-0.1712189;-0.04173639;-0.01240512;-0.833984;1.189045;-0.6445684;0.02295423;0.762367;-0.05292585;0.006024452;-1.217519;1.254869;-0.6073872;0.05274147;0.7895087;-0.07053464;-0.02327235;-1.269565;1.144031;0;0;0;0;0.1237356;-0.4374942;1.118883;0.6141717;0.7390137;-0.2567426;-0.1036102;0.152886;-0.3622531;0.7365717;-0.3936272;0.5680408;-0.4987745;0.5230789;0.1974485;-0.281061;0.2746728;-0.3934429;0.5579622;-0.5089484;0.5242637;0.1562816;-0.2780596;0.1391261;0;0;0;0;0.07814632;0.04982128;0.9949822;0.0530568;0.975035;-0.1672526;-0.1360821;-0.09365245;-0.3915748;0.6870551;0;0;0;0;-0.06454904;-0.4031101;0.7311429;0;0;0;0;0.1239277;-0.3988916;0.683938;0;0;0;0;0.1211605;-0.3942409;0.678;0;0;0;0;
0.05406404;-0.4374989;1.15661;0.04435429;0.9838746;-0.1384872;-0.1041378;0.07161684;-0.1498193;1.071978;0.04861547;0.9801839;-0.1370494;-0.1345119;0.08845434;0.1330518;0.9724519;0.05757349;0.9681282;-0.1788148;-0.1656452;0.08759534;0.2751556;0.8931903;0;0;0;0;-0.08235785;0.0576505;1.027518;0.7188102;-0.6766441;0.04189932;0.1539774;-0.09831257;-0.1788613;0.9436582;0.7803723;0.07778926;-0.6011015;-0.1537686;-0.08941849;-0.3463285;0.7998433;-0.05142323;-0.3478184;0.9361475;-0.002396425;-0.08918577;-0.3731943;0.7565514;-0.03650933;-0.4858433;0.8731037;0.01770015;0.2325435;0.02540252;0.9158898;0.7272985;0.6179742;-0.2853839;-0.08775281;0.2156782;-0.1898019;0.8596426;0.8564214;-0.09698432;0.4989066;-0.09071239;0.156027;-0.3599162;0.7320117;0.7613976;0.06422123;-0.5525952;-0.3328482;0.1557187;-0.3883535;0.7310598;0.8189242;0.005160256;-0.5736322;-0.01681001;-0.02509718;-0.4232257;1.142193;-0.6243529;0.7651122;-0.1511736;-0.04397325;0.007237828;-0.8250222;1.176307;-0.6280918;0.007641698;0.7759601;-0.05769007;0.0367708;-1.209335;1.235023;-0.5860758;0.0387587;0.8058286;-0.07518815;0.002071947;-1.259467;1.124504;0;0;0;0;0.1305932;-0.4275796;1.107359;0.6152852;0.7333232;-0.259322;-0.1281147;0.1623609;-0.3733167;0.7236115;0.4045799;-0.5536976;0.5162793;-0.5130203;0.2102719;-0.3184852;0.2562968;0.4057722;-0.5421382;0.5266704;-0.5138612;0.1633531;-0.3120046;0.1248698;0;0;0;0;0.08456758;0.06389753;0.9996327;0.05585638;0.9723445;-0.1551035;-0.1654358;-0.0846458;-0.4088132;0.7128253;0;0;0;0;-0.0907829;-0.3903284;0.7879092;0;0;0;0;0.1362301;-0.4120233;0.7083083;0;0;0;0;0.1311482;-0.395738;0.6983333;0;0;0;0;
0.05985453;-0.4310978;1.150455;0.04490386;0.9840007;-0.1262594;-0.1174083;0.07762721;-0.1393153;1.072061;0.04833717;0.9804251;-0.1249853;-0.1442525;0.09476516;0.147499;0.9789441;0.05660067;0.969359;-0.1660028;-0.171996;0.09325347;0.2922983;0.9048275;0;0;0;0;-0.0801679;0.06114556;1.032852;0.7388461;-0.6591906;0.02946438;0.1367699;-0.09664994;-0.1755121;0.9752691;0.7665884;0.04919066;-0.6301263;-0.1134172;-0.08805919;-0.3391756;0.8270155;0.2785932;-0.3369229;0.8903224;-0.1272584;-0.08052254;-0.3985973;0.7809309;0.2719377;-0.2937937;0.9050868;-0.1433629;0.2341525;0.02682273;0.9177031;0.7504695;0.5864291;-0.285295;-0.1072529;0.2179297;-0.2034684;0.9338582;0.7584316;-0.003909694;0.6498682;0.04937051;0.1806515;-0.33711;0.7607596;0.8815676;-0.1679633;0.1550824;-0.4130089;0.1709959;-0.3836003;0.7619091;0.9898161;-0.1004851;0.0983544;0.02221066;-0.01892747;-0.4163024;1.137855;-0.6247014;0.7676591;-0.1363074;-0.04321935;0.02881673;-0.818683;1.162331;-0.6168944;-0.01269031;0.7842544;-0.06500202;0.07283537;-1.203211;1.211892;-0.5823607;0.01862999;0.8084482;-0.08318979;0.03825168;-1.251728;1.100025;0;0;0;0;0.135612;-0.4220057;1.099397;0.6191035;0.7270259;-0.2592178;-0.1447421;0.1805699;-0.4156267;0.6494832;0.4365189;-0.5109363;0.5499073;-0.4959813;0.2268713;-0.4181128;0.2365401;0.4604242;-0.4818902;0.5394449;-0.5145779;0.1803888;-0.4093152;0.1090719;0;0;0;0;0.09083571;0.07742923;1.004427;0.05508919;0.973139;-0.1430696;-0.1717457;-0.07486276;-0.4267278;0.737313;0;0;0;0;-0.04024066;-0.4256748;0.8034117;0;0;0;0;0.1529092;-0.4220439;0.7284425;0;0;0;0;0.1823698;-0.3396089;0.7468333;0;0;0;0;
0.06306048;-0.4263771;1.146644;0.04717309;0.9837079;-0.1156076;-0.1293379;0.08234005;-0.1294428;1.073193;0.05054701;0.9794865;-0.1141728;-0.1581638;0.100708;0.1621296;0.9861947;0.05851561;0.9684108;-0.152905;-0.1880866;0.09839192;0.3080873;0.9186036;0;0;0;0;-0.07516115;0.07091689;1.04985;0.7460973;-0.6495498;-0.004472952;0.1463005;-0.09414998;-0.1670288;1.009591;0.7750562;0.02176657;-0.6251099;-0.08973073;-0.08551975;-0.3555139;0.8638995;0.3299158;-0.2960128;0.8868447;-0.1305311;-0.07517956;-0.4155134;0.8133128;0.3136107;-0.2978829;0.8835369;-0.1796569;0.2387074;0.03070962;0.9242436;0.7696754;0.5630555;-0.2797356;-0.1109781;0.2478539;-0.1878521;0.8968601;0.9015046;-0.007899734;0.4277658;-0.06514227;0.1887856;-0.3714422;0.7914475;0.9483488;-0.1742126;0.1352397;-0.2280238;0.1813931;-0.4079799;0.7844579;0.9835855;-0.1088433;0.1193147;-0.08047754;-0.01513305;-0.410685;1.135562;-0.6223216;0.7717656;-0.1235788;-0.042684;0.04900699;-0.812516;1.151452;-0.6061331;-0.03251433;0.7911867;-0.07462715;0.108368;-1.196247;1.192844;-0.5719151;-0.0002765732;0.8150166;-0.09306449;0.0721053;-1.243444;1.080507;0;0;0;0;0.1381474;-0.4181893;1.093933;0.6232194;0.7204015;-0.2591324;-0.1595922;0.2066923;-0.4434215;0.6472165;0.4421571;-0.4754971;0.5765143;-0.496015;0.2744856;-0.4743367;0.2377537;-0.6260934;0.2539767;-0.3809831;0.6311535;0.2255561;-0.4646252;0.1121405;0;0;0;0;0.09651431;0.09102292;1.0101;0.05691663;0.9718612;-0.1302823;-0.1878109;-0.06834146;-0.4451087;0.7681202;0;0;0;0;-0.02511363;-0.4363577;0.846;0;0;0;0;0.1584237;-0.44499;0.7615953;0;0;0;0;0.1796946;-0.4049581;0.7528334;0;0;0;0;
0.06568937;-0.4219996;1.141752;0.04807577;0.9832373;-0.1047976;-0.141247;0.08573702;-0.1214744;1.073935;0.05101285;0.9788616;-0.1033997;-0.1689267;0.1049523;0.173597;0.9926615;0.05897983;0.9682111;-0.1413288;-0.1977747;0.1011495;0.3207497;0.9298322;0;0;0;0;-0.07142556;0.07650185;1.061511;0.7544724;-0.6389276;-0.02777388;0.1475512;-0.09222254;-0.1637915;1.034886;0.7738608;0.00138063;-0.6294994;-0.06977145;-0.08440091;-0.3665517;0.8873824;0.4345333;-0.2675236;0.845762;-0.1558803;-0.07274687;-0.4300849;0.8499004;0.4242253;-0.1983651;0.8633649;-0.1878434;0.2418387;0.03377941;0.9287202;0.7834938;0.544722;-0.2754347;-0.1164099;0.2529844;-0.1846762;0.9017343;0.9352322;0.002368298;0.3477556;-0.06634113;0.2063337;-0.3844539;0.8277358;0.9759472;-0.1221403;0.074458;-0.164514;0.1968461;-0.4217505;0.8133208;0.9738535;-0.1313607;0.07340612;-0.170192;-0.01199589;-0.4059835;1.132278;-0.6225209;0.7736105;-0.1105466;-0.0421174;0.05196602;-0.8095743;1.136956;-0.5980198;-0.04249812;0.7976068;-0.06625374;0.1112178;-1.194673;1.167704;-0.5661439;-0.01074383;0.8198378;-0.08503842;0.0729074;-1.239326;1.054585;0;0;0;0;0.1400002;-0.4143659;1.087298;0.6257049;0.7147043;-0.2592385;-0.174604;0.2349559;-0.4754387;0.6487155;0.4524961;-0.4303073;0.6022245;-0.4974019;0.3266809;-0.5387329;0.248041;0.7296348;-0.03518784;0.2091149;-0.6501275;0.2768836;-0.5289856;0.1235022;0;0;0;0;0.1005532;0.1016894;1.015069;0.05725135;0.9713213;-0.1193812;-0.1974974;-0.06751184;-0.473518;0.8148817;0;0;0;0;-0.0307926;-0.4346174;0.8678277;0;0;0;0;0.170468;-0.4800906;0.8214636;0;0;0;0;0.1911003;-0.4459251;0.773375;0;0;0;0;
0.06913255;-0.418011;1.136814;0.04698515;0.9829305;-0.09361385;-0.1512491;0.08903129;-0.1141445;1.075223;0.04923235;0.978991;-0.09245179;-0.1749441;0.1080573;0.1843084;1.000518;0.05591144;0.9696816;-0.1292199;-0.1997339;0.1035114;0.3314281;0.9422408;0;0;0;0;-0.06792052;0.08452822;1.076511;0.7560146;-0.6332908;-0.05195612;0.1571151;-0.08810968;-0.1634775;1.06326;0.7591696;-0.01352795;-0.6490823;-0.04659102;-0.08715859;-0.3821428;0.9309781;0.3845557;-0.2455695;0.8831325;-0.109039;-0.075158;-0.44853;0.891822;0.369404;-0.2101902;0.8883035;-0.1740047;0.2486793;0.04207235;0.9414039;0.7917459;0.5436895;-0.2586668;-0.1031093;0.264645;-0.1761808;0.9201199;0.9526954;0.02024924;0.2978205;-0.05713506;0.22401;-0.3813835;0.8615724;0.907287;-0.03374828;-0.3862067;-0.1628982;0.2149602;-0.4280602;0.8483893;0.9076595;-0.03252084;-0.3862226;-0.1610243;-0.008373675;-0.4022347;1.128869;-0.6255165;0.7730357;-0.09746519;-0.04056262;0.04556545;-0.8083786;1.124468;-0.5920906;-0.0434766;0.8031489;-0.0499037;0.0955601;-1.195637;1.146612;-0.5672179;-0.01308826;0.8205809;-0.0688435;0.05622626;-1.237454;1.03232;0;0;0;0;0.1429309;-0.4103623;1.080829;0.6263667;0.7112043;-0.2579136;-0.1879727;0.2976747;-0.5211148;0.670828;0.4615384;-0.3393022;0.6399168;-0.5122136;0.4441764;-0.6295894;0.2998201;0.7430217;0.008608157;0.2812928;-0.6072223;0.3967027;-0.6226717;0.1744968;0;0;0;0;0.1037569;0.111617;1.021178;0.05474776;0.9723848;-0.1082463;-0.1993826;-0.06370923;-0.5047132;0.8695707;0;0;0;0;-0.03490247;-0.4400056;0.9163181;0;0;0;0;0.1845464;-0.4998213;0.8572091;0;0;0;0;0.1956282;-0.4259796;0.8248911;0;0;0;0;
