SpineBase							SpineMid							Neck							Head							ShoulderLeft							ElbowLeft							WristLeft							HandLeft							ShoulderRight							ElbowRight							WristRight							HandRight							HipLeft							KneeLeft							AnkleLeft							FootLeft							HipRight							KneeRight							AnkleRight							FootRight							SpineShoulder							HandTipLeft							ThumbLeft							HandTipRight							ThumbRight							
Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;
-0.02219367;-0.3798744;0.9328294;0.06979316;0.9775875;0.008318199;-0.1984502;0.0179655;-0.09536847;0.9295429;0.06954715;0.9719612;0.01017224;-0.2243906;0.05586614;0.1760013;0.9098824;0.07992873;0.9633982;-0.03529995;-0.2534348;0.05804285;0.318713;0.8463156;0;0;0;0;-0.1057373;0.09786943;1.001433;0.7078877;-0.6605434;-0.1859978;0.1672789;-0.1590596;-0.1378677;1.016043;0.8011989;-0.1073555;-0.5872577;-0.04103156;-0.1957462;-0.3861588;0.9722737;0.8803679;-0.1042837;0.4606822;-0.04300131;-0.1878537;-0.4252914;0.9649856;0.8590878;0.03988455;0.4940946;-0.1274665;0.1817637;0.03550064;0.8358011;0.8181818;0.5122552;-0.2123602;-0.1519089;0.1882493;-0.1488511;0.7668521;0.9567462;-0.02523912;0.2295647;-0.1769176;0.1132253;-0.297595;0.6679862;-0.1316704;-0.2398959;0.9309005;0.2419447;0.09133764;-0.3245488;0.6401778;-0.118394;-0.3094777;0.8882227;0.3182245;-0.08894291;-0.3660259;0.931828;-0.6311556;0.7756037;-0.009014875;0.0005579703;-0.2622292;-0.6392515;1.036656;-0.5304283;0.2844798;0.787609;0.1318679;-0.4315455;-0.9130408;1.165615;-0.5673321;0.3120779;0.7568944;0.0886146;-0.4769881;-0.9445063;1.051146;0;0;0;0;0.0463467;-0.3696151;0.8746447;0.6329825;0.6905124;-0.206508;-0.2826311;0.1117715;-0.3554614;0.4847524;0.3989451;-0.5124516;0.5682902;-0.5052547;0.1786542;-0.349744;0.1127012;0.7007528;0.1630484;-0.03720265;-0.6935249;0.1109802;-0.3730256;0.01311188;0;0;0;0;0.04679082;0.110345;0.9171185;0.07477412;0.9646889;-0.01138946;-0.2522985;-0.2042082;-0.4972225;0.9490404;0;0;0;0;-0.1688052;-0.447475;0.934375;0;0;0;0;0.05809543;-0.3547423;0.609598;0;0;0;0;0.06484287;-0.3499127;0.6678181;0;0;0;0;

-0.02172224;-0.3783286;0.936605;0.07053868;0.9774359;0.003674975;-0.1990719;0.01819707;-0.09473396;0.930618;0.07041755;0.9718593;0.005529811;-0.2247225;0.05592174;0.1761292;0.9097822;0.08013915;0.9633942;-0.03624711;-0.2532497;0.05844903;0.3196718;0.845295;0;0;0;0;-0.1048911;0.09879079;1.000727;0.7071235;-0.6617078;-0.1835299;0.1686294;-0.1582073;-0.1362052;1.017082;0.8015604;-0.1098141;-0.586506;-0.03811122;-0.1941902;-0.38458;0.972964;0.8920091;-0.1021728;0.4378138;-0.04689975;-0.1860744;-0.4238793;0.967849;0.874535;0.05884876;0.4700276;-0.1039195;0.1816218;0.03577853;0.8359735;0.8177093;0.51262;-0.214128;-0.1507359;0.1883436;-0.1484553;0.7666691;0.9576342;-0.02402998;0.2250498;-0.1780782;0.1127945;-0.2971419;0.668122;-0.1089531;-0.2447029;0.9337552;0.2373835;0.09140345;-0.3243953;0.6426079;-0.09569079;-0.2971111;0.898636;0.3082557;-0.08856697;-0.3641137;0.9357451;-0.6291909;0.7771606;-0.01120092;-0.003836519;-0.257016;-0.6421421;1.037244;-0.5310724;0.2744582;0.7913043;0.1283442;-0.4216302;-0.9203878;1.162939;-0.5685147;0.3025635;0.7601798;0.08586693;-0.4672316;-0.9518573;1.048581;0;0;0;0;0.04685535;-0.3685858;0.8782263;0.6341394;0.6895548;-0.2099793;-0.279804;0.1090831;-0.3545037;0.4878291;0.400554;-0.5151373;0.5672363;-0.5024272;0.1728552;-0.3490232;0.1154146;0.7007381;0.1614078;-0.04140522;-0.6936852;0.1055839;-0.3723621;0.01563128;0;0;0;0;0.04685189;0.1104961;0.9171441;0.07517755;0.9646503;-0.01397713;-0.252196;-0.1983214;-0.4903169;0.9451454;0;0;0;0;-0.1678914;-0.4388682;0.9342478;0;0;0;0;0.05778334;-0.355074;0.612753;0;0;0;0;0.07722118;-0.3334618;0.6710625;0;0;0;0;

-0.02171666;-0.3761914;0.941583;0.07222382;0.976836;-0.001705295;-0.2014255;0.01837662;-0.09363713;0.932324;0.07224382;0.9713924;0.0001336444;-0.2262246;0.05603894;0.1764425;0.9096434;0.08067028;0.9631642;-0.03796159;-0.2537045;0.05902818;0.3209768;0.8441978;0;0;0;0;-0.1038706;0.1004948;1.000413;0.705264;-0.6636882;-0.1808058;0.1715518;-0.1569376;-0.1336789;1.01887;0.7981781;-0.1121321;-0.5908581;-0.03499756;-0.1926363;-0.3820446;0.9741194;0.8783847;-0.1036063;0.4643986;-0.04516622;-0.1850531;-0.418046;0.9704521;0.8600305;0.06438334;0.4971912;-0.09488606;0.1815274;0.03616821;0.8361977;0.8171254;0.5128954;-0.2169419;-0.1489318;0.1887539;-0.1480311;0.7668572;0.9591922;-0.02149562;0.2181226;-0.1786358;0.1123149;-0.2967996;0.6691678;-0.1254578;-0.2378025;0.9318184;0.2437718;0.0920632;-0.3257602;0.6462311;-0.1143543;-0.2614743;0.911388;0.2965237;-0.08856291;-0.3613197;0.9411191;-0.6255071;0.7800475;-0.01263956;-0.01034748;-0.2472257;-0.6470507;1.038587;-0.5313122;0.2585691;0.797875;0.1193513;-0.4023935;-0.9325054;1.160346;-0.5688727;0.2871757;0.766642;0.07857519;-0.4484441;-0.9639315;1.046188;0;0;0;0;0.046841;-0.3672726;0.8827541;0.6362015;0.6871695;-0.2147626;-0.2773495;0.1128909;-0.3433159;0.4936078;0.385766;-0.5248219;0.5664744;-0.5048301;0.1808988;-0.3284638;0.122522;0.6915264;0.1767985;-0.04607207;-0.6988639;0.1125426;-0.3528247;0.02206361;0;0;0;0;0.04696924;0.1108789;0.9172423;0.0762573;0.9643616;-0.01778025;-0.2527358;-0.2022409;-0.4789585;0.9522036;0;0;0;0;-0.1657949;-0.4418692;0.9389408;0;0;0;0;0.05876107;-0.3580781;0.6179772;0;0;0;0;0.07783496;-0.3301509;0.6720001;0;0;0;0;

-0.0218042;-0.3737053;0.948247;0.07434742;0.9761814;-0.008135667;-0.2036568;0.0185846;-0.09214059;0.935101;0.07452614;0.9708371;-0.00629151;-0.2277753;0.05620586;0.1768759;0.9096115;0.08145912;0.9627926;-0.04086586;-0.2544107;0.05974239;0.3223757;0.8433312;0;0;0;0;-0.1032795;0.102027;1.000704;0.7043325;-0.6646054;-0.1772823;0.1754606;-0.155119;-0.128447;1.022308;0.7950955;-0.1155973;-0.5946501;-0.02918471;-0.1896363;-0.3769286;0.9766633;0.4151252;-0.110302;0.9027271;0.02425488;-0.1852601;-0.4099758;0.9742033;0.4225784;-0.005604361;0.9031922;-0.07509993;0.181549;0.03691884;0.836633;0.8159602;0.5137138;-0.2210582;-0.1464245;0.1899013;-0.1476036;0.7685533;0.9594601;-0.0181396;0.219328;-0.1760752;0.1125745;-0.2960743;0.6711155;-0.1447711;-0.2317203;0.9286031;0.2510845;0.09352566;-0.3277374;0.6519836;-0.1329706;-0.2079595;0.9288639;0.2761945;-0.08863813;-0.3586558;0.9481082;-0.624445;0.780728;-0.0151863;-0.01736523;-0.2363564;-0.6526322;1.040436;-0.5317305;0.2404242;0.804621;0.1097455;-0.3809669;-0.945802;1.157164;-0.5689614;0.2695508;0.773681;0.07101334;-0.4275756;-0.9772369;1.043301;0;0;0;0;0.04672913;-0.3652909;0.8889424;0.6367667;0.6860788;-0.2197858;-0.2748058;0.1096265;-0.3482713;0.4988498;0.3927547;-0.5216138;0.5694093;-0.4994354;0.1742686;-0.340155;0.1271778;0.697986;0.1678976;-0.04539568;-0.6946691;0.1065911;-0.3644218;0.02678596;0;0;0;0;0.04716017;0.1114987;0.9175985;0.07799998;0.9638879;-0.02347534;-0.2535452;-0.2004377;-0.471033;0.952239;0;0;0;0;-0.1558136;-0.3991712;0.9625556;0;0;0;0;0.06253829;-0.3606251;0.6249389;0;0;0;0;0.07972072;-0.3306589;0.6828001;0;0;0;0;

-0.02125164;-0.3710249;0.9542234;0.07565294;0.9758302;-0.01304295;-0.2046017;0.01916562;-0.09036724;0.9382018;0.07593788;0.9707664;-0.0112661;-0.2274185;0.05655771;0.1774911;0.9097159;0.0821497;0.9629936;-0.04539406;-0.2526541;0.06061403;0.3239923;0.8430821;0;0;0;0;-0.101883;0.1043862;1.000785;0.7025066;-0.6665933;-0.1729726;0.1794949;-0.1540881;-0.1244489;1.02638;0.7933222;-0.1218868;-0.5960225;-0.02325257;-0.1876139;-0.3728367;0.978747;0.8893716;-0.1010789;0.4425068;-0.05467124;-0.184931;-0.4076761;0.9774954;0.8897029;0.02604514;0.4545693;-0.03342344;0.1860742;0.04348775;0.8372394;0.8056133;0.5312409;-0.2197945;-0.1430406;0.1914736;-0.1426617;0.7740785;0.9588958;-0.02475548;0.2320074;-0.161489;0.1162669;-0.2940416;0.6798046;-0.1651603;-0.2180114;0.9294055;0.2477872;0.09769454;-0.3294462;0.6617244;-0.1546076;-0.1776528;0.9378361;0.2549499;-0.08806149;-0.3555925;0.9541933;-0.6222159;0.7823359;-0.01775603;-0.02197258;-0.2196061;-0.6587236;1.043044;-0.5340142;0.2205255;0.8110304;0.09179914;-0.3486201;-0.9604921;1.156376;-0.5685201;0.2495623;0.7818888;0.05615493;-0.3954974;-0.9919335;1.042475;0;0;0;0;0.04720863;-0.3632765;0.8947083;0.6382812;0.6844436;-0.2237043;-0.2721956;0.1089241;-0.3562721;0.5039832;0.4018513;-0.5134479;0.5741632;-0.4952004;0.1720357;-0.3576605;0.1321064;0.7072574;0.157529;-0.04034118;-0.6880001;0.1054074;-0.3818914;0.03164407;0;0;0;0;0.04759388;0.1123978;0.9182595;0.07938829;0.9640542;-0.02953878;-0.2518421;-0.2013654;-0.4661901;0.9552636;0;0;0;0;-0.1683007;-0.4246942;0.9443847;0;0;0;0;0.06164122;-0.3667571;0.6364359;0;0;0;0;0.0824758;-0.3279513;0.6921052;0;0;0;0;

